fileName,objectName,frequency,extension
NGC2903-003G.fit,NGC2903-003,Green,fit
NGC2903-002G.fit,NGC2903-002,Green,fit
NGC2903-001G.fit,NGC2903-001,Green,fit
NGC2403-008G.fit,NGC2403-008,Green,fit
NGC2403-007G.fit,NGC2403-007,Green,fit
NGC2403-006G.fit,NGC2403-006,Green,fit
NGC2403-005G.fit,NGC2403-005,Green,fit
NGC2403-004G.fit,NGC2403-004,Green,fit
NGC2403-003G.fit,NGC2403-003,Green,fit
NGC2403-002G.fit,NGC2403-002,Green,fit
NGC2403-001G.fit,NGC2403-001,Green,fit
NGC1333-004G.fit,NGC1333-004,Green,fit
NGC1333-003G.fit,NGC1333-003,Green,fit
NGC1333-002G.fit,NGC1333-002,Green,fit
NGC1333-001G.fit,NGC1333-001,Green,fit
MM81-82-007G.fit,MM81-82-007,Green,fit
MM81-82-006G.fit,MM81-82-006,Green,fit
MM81-82-005G.fit,MM81-82-005,Green,fit
MM81-82-004G.fit,MM81-82-004,Green,fit
MM81-82-003G.fit,MM81-82-003,Green,fit
MM81-82-002G.fit,MM81-82-002,Green,fit
MM81-82-001G.fit,MM81-82-001,Green,fit
M97-004G.fit,M97-004,Green,fit
M97-003G.fit,M97-003,Green,fit
M97-002G.fit,M97-002,Green,fit
M97-001G.fit,M97-001,Green,fit
M82-018G.fit,M82-018,Green,fit
M82-017G.fit,M82-017,Green,fit
M82-016G.fit,M82-016,Green,fit
M82-015G.fit,M82-015,Green,fit
M82-014G.fit,M82-014,Green,fit
M82-013G.fit,M82-013,Green,fit
M82-012G.fit,M82-012,Green,fit
M82-011G.fit,M82-011,Green,fit
M82-010G.fit,M82-010,Green,fit
M82-009G.fit,M82-009,Green,fit
M82-008G.fit,M82-008,Green,fit
M82-007G.fit,M82-007,Green,fit
M82-006G.fit,M82-006,Green,fit
M82-005G.fit,M82-005,Green,fit
M82-004G.fit,M82-004,Green,fit
M82-003G.fit,M82-003,Green,fit
M82-002G.fit,M82-002,Green,fit
M82-001G.fit,M82-001,Green,fit
M8182x-002G.fit,M8182x-002,Green,fit
M8182x-001G.fit,M8182x-001,Green,fit
M81-82-005G.fit,M81-82-005,Green,fit
M81-82-004G.fit,M81-82-004,Green,fit
M8182-004G.fit,M8182-004,Green,fit
M81-82-003G.fit,M81-82-003,Green,fit
M8182-003G.fit,M8182-003,Green,fit
M81-82-002G.fit,M81-82-002,Green,fit
M8182-002G.fit,M8182-002,Green,fit
M81-82-001G.fit,M81-82-001,Green,fit
M8182-001G.fit,M8182-001,Green,fit
M81-008G.fit,M81-008,Green,fit
M81-007G.fit,M81-007,Green,fit
M81-006G.fit,M81-006,Green,fit
M81-005G.fit,M81-005,Green,fit
M81-004G.fit,M81-004,Green,fit
M81-003G.fit,M81-003,Green,fit
M81-002G.fit,M81-002,Green,fit
M81-001G.fit,M81-001,Green,fit
M78-002G.fit,M78-002,Green,fit
M78-001G.fit,M78-001,Green,fit
M63-007G.fit,M63-007,Green,fit
M63-006G.fit,M63-006,Green,fit
M63-005G.fit,M63-005,Green,fit
M63-004G.fit,M63-004,Green,fit
M63-003G.fit,M63-003,Green,fit
M63-002G.fit,M63-002,Green,fit
M63-001G.fit,M63-001,Green,fit
M57-004G.fit,M57-004,Green,fit
M57-003G.fit,M57-003,Green,fit
M57-002G.fit,M57-002,Green,fit
M57-001G.fit,M57-001,Green,fit
M51-G.fit,M51-,Green,fit
M51-600G.fit,M51-600,Green,fit
M51-006G.fit,M51-006,Green,fit
M51-005G.fit,M51-005,Green,fit
M51-004G.fit,M51-004,Green,fit
M51-003G.fit,M51-003,Green,fit
M51-002G.fit,M51-002,Green,fit
M51-001G.fit,M51-001,Green,fit
M45short-008G.fit,M45short-008,Green,fit
M45short-007G.fit,M45short-007,Green,fit
M45short-006G.fit,M45short-006,Green,fit
M45short-005G.fit,M45short-005,Green,fit
M45short-004G.fit,M45short-004,Green,fit
M45short-003G.fit,M45short-003,Green,fit
M45short-002G.fit,M45short-002,Green,fit
M45short-001G.fit,M45short-001,Green,fit
M45-G.fit,M45-,Green,fit
M45-010G.fit,M45-010,Green,fit
M45-009G.fit,M45-009,Green,fit
M45-008G.fit,M45-008,Green,fit
M45-007G.fit,M45-007,Green,fit
M45-006G.fit,M45-006,Green,fit
M45-005G.fit,M45-005,Green,fit
M45-004G.fit,M45-004,Green,fit
M45-003G.fit,M45-003,Green,fit
M45-002G.fit,M45-002,Green,fit
M45-001G.fit,M45-001,Green,fit
M42-004G.fit,M42-004,Green,fit
M42-003G.fit,M42-003,Green,fit
M42-002G.fit,M42-002,Green,fit
M42-001G.fit,M42-001,Green,fit
M33-009G.fit,M33-009,Green,fit
M33-008G.fit,M33-008,Green,fit
M33-007G.fit,M33-007,Green,fit
M33-006G.fit,M33-006,Green,fit
m33-005G.fit,m33-005,Green,fit
M33-004G.fit,M33-004,Green,fit
M33-003G.fit,M33-003,Green,fit
M33-002G.fit,M33-002,Green,fit
M33-001G.fit,M33-001,Green,fit
M31-010G.fit,M31-010,Green,fit
M31-009G.fit,M31-009,Green,fit
M31-008G.fit,M31-008,Green,fit
M31-007G.fit,M31-007,Green,fit
M31-006G.fit,M31-006,Green,fit
M31-005G.fit,M31-005,Green,fit
M31-004G.fit,M31-004,Green,fit
M31-003G.fit,M31-003,Green,fit
M31-002G.fit,M31-002,Green,fit
M31-001G.fit,M31-001,Green,fit
M3-008G.fit,M3-008,Green,fit
M3-007G.fit,M3-007,Green,fit
M3-006G.fit,M3-006,Green,fit
M3-005G.fit,M3-005,Green,fit
M3-004G.fit,M3-004,Green,fit
M3-003G.fit,M3-003,Green,fit
M3-002G.fit,M3-002,Green,fit
M3-001G.fit,M3-001,Green,fit
M27-006G.fit,M27-006,Green,fit
M27-005G.fit,M27-005,Green,fit
M27-004G.fit,M27-004,Green,fit
M27-003G.fit,M27-003,Green,fit
M27-002G.fit,M27-002,Green,fit
M27-001G.fit,M27-001,Green,fit
M13-003G.fit,M13-003,Green,fit
M13-002G.fit,M13-002,Green,fit
M13-001G.fit,M13-001,Green,fit
M109-002G.fit,M109-002,Green,fit
M109-001G.fit,M109-001,Green,fit
m106b-006G.fit,m106b-006,Green,fit
m106b-005G.fit,m106b-005,Green,fit
m106b-004G.fit,m106b-004,Green,fit
m106b-003G.fit,m106b-003,Green,fit
